CONF; RUN; RESULT
conf001; 0; 1
conf002; 0; 1
conf003; 0; 0
conf004; 0; 1
conf005; 0; 1
conf006; 0; 1
conf007; 0; 1
conf008; 0; 1
conf009; 0; 1
conf010; 0; 1
conf011; 0; 1
conf012; 0; 1
conf013; 0; 1
conf014; 0; 1
conf015; 0; 1
conf016; 0; 1
conf017; 0; 1
conf018; 0; 0
conf019; 0; 1
conf020; 0; 1
conf021; 0; 1
conf022; 0; 1
conf023; 0; 1
conf024; 0; 1
conf025; 0; 1
conf026; 0; 1
conf027; 0; 1
conf028; 0; 1
conf029; 0; 1
conf030; 0; 1
conf031; 0; 1
conf032; 0; 1
conf033; 0; 1
conf034; 0; 1
conf035; 0; 1
conf036; 0; 1
conf037; 0; 1
conf038; 0; 1
conf039; 0; 1
conf040; 0; 1
conf041; 0; 1
conf042; 0; 1
conf043; 0; 1
conf044; 0; 1
conf045; 0; 1
conf046; 0; 1
conf047; 0; 1
conf048; 0; 1
conf049; 0; 1
conf050; 0; 1
conf051; 0; 1
conf052; 0; 1
conf053; 0; 1
conf054; 0; 1
conf055; 0; 1
conf056; 0; 1
conf057; 0; 1
conf058; 0; 1
conf059; 0; 1
conf060; 0; 1
conf061; 0; 1
conf062; 0; 1
conf063; 0; 1
conf064; 0; 1
conf065; 0; 1
conf066; 0; 1
conf067; 0; 1
conf068; 0; 1
conf069; 0; 1
conf070; 0; 1
conf071; 0; 1
conf072; 0; 1
conf073; 0; 1
conf074; 0; 1
conf075; 0; 1
conf076; 0; 1
conf077; 0; 1
conf078; 0; 1
conf079; 0; 1
conf080; 0; 1
conf081; 0; 1
conf082; 0; 1
conf083; 0; 1
conf084; 0; 1
conf085; 0; 1
conf086; 0; 1
conf087; 0; 1
conf088; 0; 1
conf089; 0; 1
conf090; 0; 1
conf091; 0; 1
conf092; 0; 1
conf093; 0; 1
conf094; 0; 1
conf095; 0; 1
conf096; 0; 1
conf097; 0; 1
conf098; 0; 1
conf099; 0; 1
conf100; 0; 1
